epg@query	明晚真人秀频道有播放过百变大咖秀呢	b-datetime_time i-datetime_time b-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o o b-name i-name i-name i-name i-name o
message@sendcontacts	把李志强的号码发给贾洪鉴	o b-name i-name i-name o o o o o b-receiver i-receiver i-receiver
video@query	来点张艺谋出演的节目	o o b-artist i-artist i-artist b-artistrole i-artistrole o b-category i-category
riddle@query	帮忙讲几个谜语给我猜。	o o o o o b-category i-category o o o o
news@play	我要听个新闻。	o o o o o o o
epg@query	央视少儿频道的节目的	b-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o o
cinemas@query	有什么新电影	o o o o o o
train@query	从长沙到北京的列车	o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
app@launch	帮我打开人人	o o o o b-name i-name
message@sendcontacts	把莫若的电话号码发送给反面教材	o b-name i-name o o o o o o o o b-receiver i-receiver i-receiver i-receiver
train@query	烟台到齐齐哈尔的火车票	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city i-endloc_city i-endloc_city o o o o
train@query	查查一下连江到湛江的火车票	o o o o b-startloc_area i-startloc_area o b-endloc_city i-endloc_city o o o o
translation@translation	时间的英文怎么讲	b-content i-content o b-target i-target o o o
health@query	颈椎病用什么药物治疗？	b-keyword i-keyword i-keyword o o o o o o o o
cookbook@query	鱼香肉丝肉怎么做？	b-dishname i-dishname i-dishname i-dishname o o o o o
flight@query	帮我查一下从济南到福州的机票	o o o o o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
message@sendcontacts	把平水相逢的手机号码发给8000	o b-name i-name i-name i-name o b-category i-category o o o o b-receiver i-receiver i-receiver i-receiver
message@send	给张大萍发短信	o b-name i-name i-name o o o
epg@query	中央一套什么时候有建党伟业	b-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o o o b-name i-name i-name i-name
translation@translation	庞军军英语怎么说	b-content i-content i-content b-target i-target o o o
message@send	给岚岚发短信	o b-name i-name o o o
health@query	白带异常。	b-keyword i-keyword i-keyword i-keyword o
cookbook@query	福寿鱼怎么煮比较好吃？	b-ingredient i-ingredient i-ingredient o o o o o o o o
cookbook@query	鱼怎么做莱	b-ingredient o o o o
cookbook@query	扁豆豆角怎么烧？	o o b-ingredient i-ingredient o o o o
app@launch	打开sky电话	o o b-name i-name i-name i-name i-name
poetry@default	念首诗听一下。	o o o o o o o
train@query	温州到瑞昌的火车	b-startloc_city i-startloc_city o b-endloc_area i-endloc_area o o o
health@query	肺结核要注意些啥	b-keyword i-keyword i-keyword o o o o o
video@query	穷孩子富孩子	b-name i-name i-name i-name i-name i-name
poetry@query	牧童骑黄牛的下一句是什么？	b-keyword i-keyword i-keyword i-keyword i-keyword o b-queryfield i-queryfield i-queryfield o o o o
video@query	女子特警队之火凤凰	b-name i-name i-name i-name i-name i-name i-name i-name i-name
bus@query	查看济南到东营的，汽车。	o o b-src i-src o b-dest i-dest o o o o o
poetry@query	唐诗登高。	b-dynasty o b-name i-name o
poetry@query	杜甫兵车行。	b-author i-author b-name i-name i-name o
match@query	北京国安5月23号比赛和谁踢	b-name i-name i-name i-name b-datetime_date i-datetime_date i-datetime_date i-datetime_date i-datetime_date o o o o o
music@search	搜索歌曲公路	o o o o b-song i-song
health@query	得了灰指甲怎么办呢？	o o b-keyword i-keyword i-keyword o o o o o
epg@query	安徽电视台12月18号晚上10:10的电视剧	b-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel o b-datetime_date i-datetime_date i-datetime_date i-datetime_date i-datetime_date b-datetime_time i-datetime_time i-datetime_time i-datetime_time i-datetime_time i-datetime_time i-datetime_time o b-category i-category i-category
cookbook@query	蚝油生菜的做法。	b-dishname i-dishname i-dishname i-dishname o o o o
app@launch	帮忙打开一下酷狗音乐播放音乐行不	o o o o o o b-name i-name i-name i-name o o o o o o
cookbook@query	猪肉怎么做？	b-ingredient i-ingredient o o o o
poetry@query	搜索腊梅。	o o b-name i-name o
news@play	我也听新闻。	o o o o o o
telephone@dial	给吴方婷打电话	o b-name i-name i-name o o o
news@play	今日头条新闻。	b-media i-media i-media i-media o o o
epg@query	8点河北卫视播放过恋了爱了	b-datetime_time i-datetime_time b-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o b-name i-name i-name i-name
app@launch	钛备份	b-name i-name i-name
app@launch	打开淘宝购物	o o b-name i-name i-name i-name
message@send	给肥老发信息	o b-name i-name o o o
cookbook@query	刘林面怎么做啊？	o o b-ingredient o o o o o
cookbook@query	怎么做京酱肉丝。	o o o b-dishname i-dishname i-dishname i-dishname o
translation@translation	翻译爸爸	o o b-content i-content
stock@query	南京熊猫股票	b-name i-name i-name i-name o o
riddle@query	字谜你。	b-category i-category o o
flight@query	我想订8月15晚上北京飞合肥的机票	o o o b-startdate_date i-startdate_date i-startdate_date i-startdate_date b-startdate_time i-startdate_time b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
epg@query	帮我查下下周演新闻联播	o o o o b-datetime_date i-datetime_date o b-name i-name i-name i-name
app@launch	请打开qq	o o o b-name i-name
match@query	下个星期中国足球超级联赛淘汰赛的赛事前瞻	b-datetime_date i-datetime_date i-datetime_date i-datetime_date b-category i-category i-category i-category i-category i-category i-category i-category o o o o o o o o
epg@query	搜索东方卫视的电视节目。	o o b-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o o o o
cookbook@query	培根金针菇怎么做？	b-dishname i-dishname i-dishname i-dishname i-dishname o o o o
app@query	搜索京东商城	o o b-name i-name i-name i-name
telephone@dial	给王涛打电话	o b-name i-name o o o
cookbook@query	如何炒花生。	o o b-dishname i-dishname i-dishname o
epg@query	今天电影频道演什么	b-datetime_date i-datetime_date b-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o
cookbook@query	搜索，西米露的做法。	o o o b-dishname i-dishname i-dishname o o o o
video@query	好看足球比赛	b-scoredescr i-scoredescr b-tag i-tag i-tag i-tag
stock@query	查询三一重工股票	o o b-name i-name i-name i-name o o
novel@query	你能搜到小说不？	o o o o o o o o
cookbook@query	又热炒鸡蛋怎么做？	o o b-dishname i-dishname i-dishname o o o o
video@query	2012年美国公告牌音乐大奖颁奖礼	b-datetime_date i-datetime_date i-datetime_date i-datetime_date i-datetime_date b-name i-name i-name i-name i-name i-name i-name i-name i-name i-name i-name i-name
lottery@number_query	买三注星期四开奖的七乐彩	o o o b-datetime_date i-datetime_date i-datetime_date o o o b-name i-name i-name
map@route	到公园怎么走	o b-endloc_poi i-endloc_poi o o o
cookbook@query	酸辣藕丁的做法。	b-dishname i-dishname i-dishname i-dishname o o o o
video@query	我想看董浩配音的动漫	o o o b-artist i-artist b-artistrole i-artistrole o b-category i-category
cookbook@query	请帮我找一下酸菜鱼的做法	o o o o o o b-dishname i-dishname i-dishname o o o
poetry@default	来一首七言绝句。	o o o o o o o o
website@open	打开五五两性网站	o o b-name i-name i-name i-name i-name i-name
news@play	给我找到今天的新闻。	o o o o b-datetime_date i-datetime_date o o o o
cookbook@query	麻辣豆腐怎么做啊？	b-dishname i-dishname i-dishname i-dishname o o o o o
translation@translation	帮我翻译一下我饿了	o o o o o o b-content i-content i-content
stock@riserate_query	中国石化的股票是涨还是跌	b-name i-name i-name i-name o o o o o o o o
video@query	我想看周星驰的喜剧电影喜剧之王	o o o b-artist i-artist i-artist o b-tag i-tag b-category i-category b-name i-name i-name i-name
cookbook@query	你会不会做蛋糕只能回答哦。	o o o o o b-dishname i-dishname o o o o o o
cookbook@query	红烧排骨怎么做的吗？	b-dishname i-dishname i-dishname i-dishname o o o o o o
translation@translation	我想打你英语怎么说	b-content i-content i-content i-content b-target i-target o o o
epg@query	看看今天有什么好看的节目？	o o b-datetime_date i-datetime_date o o o o o o b-category i-category o
epg@look_back	回看上周末早上8点的湖南卫视	o o b-datetime_date i-datetime_date i-datetime_date b-datetime_time i-datetime_time i-datetime_time i-datetime_time o b-tvchannel i-tvchannel i-tvchannel i-tvchannel
poetry@query	我朗诵唐诗。	o o o b-dynasty o o
novel@query	搜一下小说。	o o o o o o
flight@query	八月十一日从厦门飞往上海的航班	b-startdate_date i-startdate_date i-startdate_date i-startdate_date i-startdate_date o b-startloc_city i-startloc_city o o b-endloc_city i-endloc_city o o o
stock@query	搜索中国移动的股市行情	o o b-name i-name i-name i-name o o o o o
poetry@query	那就来一首李白的诗词吗？	o o o o o b-author i-author o o o o o
website@open	打开河南英东网站	o o b-name i-name i-name i-name o o
cookbook@query	烤鸭，啊！	b-dishname i-dishname o o o
stock@query	腾讯公司的股票	b-name i-name o o o o o
cookbook@query	酱油鸡。	b-dishname i-dishname i-dishname o
health@query	耳鸣怎么办	b-keyword i-keyword o o o
joke@query	讲个笑话吗	o o o o o
news@play	但我想点新闻。	o o o o o o o
app@query	查找通讯录	o o b-name i-name i-name
music@play	哦来一首传奇	o o o o b-song i-song
video@query	搜索国外大片	o o b-area i-area b-category i-category
match@query	北京国安的赛程。	b-name i-name i-name i-name o o o o
poetry@query	呦呦鹿鸣的下一句。	b-keyword i-keyword i-keyword i-keyword o b-queryfield i-queryfield i-queryfield o
novel@query	我要看现代言情小说	o o o b-category i-category i-category i-category o o
train@query	明天有火车到襄阳吗	b-startdate_date i-startdate_date o o o o b-endloc_city i-endloc_city o
poetry@query	念首唐诗吧！	o o b-dynasty o o o
flight@query	济南到重庆的航班。	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
video@query	香港杜琪峰导演的喜剧孤男寡女	b-area i-area b-artist i-artist i-artist b-artistrole i-artistrole o b-tag i-tag b-name i-name i-name i-name
train@query	查询湛江到广州的火车票	o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
video@query	海棉宝宝	b-name i-name i-name i-name
tvchannel@play	我想看中央十三频道	o o o b-name i-name i-name i-name i-name i-name
novel@query	我要看灵异推理小说	o o o b-category i-category i-category i-category o o
app@launch	打开qq浏览器	o o b-name i-name i-name i-name i-name
poetry@query	造化钟神秀的下一句是什么？	b-keyword i-keyword i-keyword i-keyword i-keyword o b-queryfield i-queryfield i-queryfield o o o o
train@query	查一下广州到信阳的火车票	o o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
app@launch	打开uc二哦	o o b-name i-name o o
music@play	放一首音乐给我听	o o o o o o o o
health@query	多囊肾怎么治啊？	b-keyword i-keyword i-keyword o o o o o
tvchannel@play	中央八	b-name i-name i-name
epg@look_back	btv生活节目选择回放	b-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o o o o
message@send	发短讯给曹建阳	o o o o b-name i-name i-name
music@play	给我放首歌	o o o o o
poetry@query	唐诗哦。	b-dynasty o o o
cookbook@query	煮面怎么做？	b-dishname i-dishname o o o o
poetry@query	满园花菊郁金黄的下一句是什么？	b-keyword i-keyword i-keyword i-keyword i-keyword i-keyword i-keyword o b-queryfield i-queryfield i-queryfield o o o o
poetry@query	来首山口。	o o b-name i-name o
message@send	给姐姐发短信我今天晚上晚点回去你就别等我吃饭	o b-name i-name o o o b-content i-content i-content i-content i-content i-content i-content i-content i-content i-content i-content i-content i-content i-content i-content i-content
email@send	发邮件给晶晶	o o o o b-name i-name
news@play	我想听搜狐新闻	o o o b-media i-media o o
cookbook@query	陈醋排骨的做法。	o o b-ingredient i-ingredient o o o o
cinemas@query	查询福建电影院的热映电影	o o b-theatre i-theatre i-theatre i-theatre i-theatre o o o o o
telephone@dial	给熊媛媛打电话	o b-name i-name i-name o o o
poetry@query	给我来首绝句。	o o o o b-name i-name o
poetry@query	尽在不言中下一句是什么？	b-keyword i-keyword i-keyword i-keyword i-keyword b-queryfield i-queryfield i-queryfield o o o o
tvchannel@play	高尔夫网球	b-name i-name i-name i-name i-name
cookbook@query	醉虾的做法。	b-dishname i-dishname o o o o
cinemas@query	查一下最近有什么电影？	o o o o o o o o o o o
cookbook@query	保险，酸辣土豆丝怎么炒？	o o o b-dishname i-dishname i-dishname i-dishname i-dishname o o o o
cookbook@query	川崎玫瑰的制作方法	o o b-ingredient i-ingredient o o o o o
health@query	静脉曲张怎么治疗？哦？	b-keyword i-keyword i-keyword i-keyword o o o o o o o
video@query	看中国好声音	o b-name i-name i-name i-name i-name
translation@translation	当前不再呼叫英语怎么说	b-content i-content i-content i-content i-content i-content b-target i-target o o o
